Reference,Category,delta15N-N2O,"Site Preference (SP), defined either as [delta15N_alpha - delta15N_beta] or [15R_alpha/15R_beta - 1], where alpha is the central N atom and beta is the terminal N atom in the assymetric N-N-O molecule",delta18O-N2O,Site description,Surface flux and near-surface data subset
Frame et al._2014,Marine,6.5,13.4,44.3,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,6.1,10.2,43.9,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,5.9,10.6,44.2,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,6.6,11.5,42.2,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,7,12.2,42.5,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,7,13.1,42.7,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,7.6,13.4,43.5,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,8.3,16.8,46.3,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,8.7,16.6,46.6,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,8.8,16.9,47.6,eastern S Atlantic_10 to 1000 m_station 25_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,7.5,17,45.7,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2007,yes
Frame et al._2014,Marine,7.4,19,45.9,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2008,yes
Frame et al._2014,Marine,7.6,20.3,46.3,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2009,yes
Frame et al._2014,Marine,6.5,12.9,44.8,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2010,no
Frame et al._2014,Marine,5.7,7.4,45.3,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2011,no
Frame et al._2014,Marine,5.4,8.2,45.5,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2012,no
Frame et al._2014,Marine,5.3,10.4,45.1,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2013,no
Frame et al._2014,Marine,6.8,13.2,42.7,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2014,no
Frame et al._2014,Marine,7.6,14.4,43.8,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2015,no
Frame et al._2014,Marine,8.3,16.5,45.8,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2016,no
Frame et al._2014,Marine,8.7,17.7,47.3,eastern S Atlantic_10 to 800 m_station 26_positive surface flux_November to December 2017,no
Frame et al._2014,Marine,7.7,18.8,45.8,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,8,16.7,45.6,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,7.7,15.4,45.5,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,7.8,16.5,45.6,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,7.9,15.6,45.4,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,7.4,15.9,44.9,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,6.8,13.7,43.4,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,6.4,10.6,42.4,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,5.4,7.9,45.9,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Frame et al._2014,Marine,6.1,13.1,43.9,eastern S Atlantic_10 to 299 m_station 27_negative surface flux_November to December 2007,no
Ishijima et al._2007,Troposphere,7.2,,44.4,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.3,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.2,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.3,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.2,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.2,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.2,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.2,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7,,44.4,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.2,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,6.9,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.8,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,6.9,,44.3,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.4,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,6.9,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.3,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.6,,44.9,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.4,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.3,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.3,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.4,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.6,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.5,,44.8,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.4,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.3,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.4,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.3,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.4,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.3,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.3,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7,,44.3,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.6,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.7,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7.1,,44.4,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,6.9,,44.3,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,6.9,,44.3,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,7,,44.2,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,6.9,,44.5,Arctic and Antartic firn air_1990 onwards,n/a
Ishijima et al._2007,Troposphere,6.9,,44.3,Arctic and Antartic firn air_1990 onwards,n/a
Kaiser et al._2003,Troposphere,6.6,,44.4,Mainz_Germany_12 m above-ground rooftop samples,n/a
Kaiser et al._2003,Troposphere,6.8,45.2,44.7,Spitsbergen_Norway_474 m,n/a
Kaiser et al._2003,Troposphere,6.6,44,44.4,Kollumerwaard_Netherlands_0 m,n/a
Kaiser et al._2003,Troposphere,6.6,44.6,44.5,Mainz_Germany_128 m,n/a
Kaiser et al._2003,Troposphere,6.7,44.6,44.6,Schauinsland_Germany_1205 m,n/a
Kaiser et al._2003,Troposphere,6.7,45.1,44.6,Mount Sonnblick_Austria_3106 m,n/a
Kaiser et al._2003,Troposphere,6.8,45.3,44.6,Izana_Tenerife_Spain_2370 m,n/a
Kaiser et al._2006,Stratosphere,7.5,,44.6,India_17.3 km_17.5N/78.6E_March 1987,n/a
Kaiser et al._2006,Stratosphere,7.3,,45,India_19.4 km_17.5N/78.6E_March 1987,n/a
Kaiser et al._2006,Stratosphere,14,,50.2,India_23.4 km_17.5N/78.6E_March 1987,n/a
Kaiser et al._2006,Stratosphere,16.9,,52.9,India_25.6 km_17.5N/78.6E_March 1987,n/a
Kaiser et al._2006,Stratosphere,14.8,,51.3,India_23.9 km_17.5N/78.6E_March 1987,n/a
Kaiser et al._2006,Stratosphere,7.1,,44.7,Kiruna_6 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,7.1,,44.8,Kiruna_7.5 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,7.1,,44.9,Kiruna_9.1 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,7.1,,44.8,Kiruna_10.6 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,7.4,,45.4,Kiruna_12 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,8.5,,46,Kiruna_13.2 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,90.1,,121.4,Kiruna_27.3 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,86.9,,116.6,Kiruna_25.5 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,84.2,,113,Kiruna_23.2 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,50.4,,82.6,Kiruna_21.2 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,20.1,,56.4,Kiruna_18 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,15.7,,52.3,Kiruna_16.5 km_67.9N/21.1E_January 1992,n/a
Kaiser et al._2006,Stratosphere,7.5,,44.8,Kiruna_7.3 km_67.9N/21.1E_February 1992,n/a
Kaiser et al._2006,Stratosphere,7.2,,44.9,Kiruna_8.6 km_67.9N/21.1E_February 1992,n/a
Kaiser et al._2006,Stratosphere,7.3,,45,Kiruna_10.2 km_67.9N/21.1E_February 1992,n/a
Kaiser et al._2006,Stratosphere,10.1,,47.6,Kiruna_13.2 km_67.9N/21.1E_February 1992,n/a
Kaiser et al._2006,Stratosphere,10.9,,48.1,Kiruna_15.2 km_67.9N/21.1E_February 1992,n/a
Kaiser et al._2006,Stratosphere,27.4,,62,Kiruna_18.7 km_67.9N/21.1E_February 1992,n/a
Kaiser et al._2006,Stratosphere,100.9,,128,Kiruna_26.7 km_67.9N/21.1E_February 1992,n/a
Kaiser et al._2006,Stratosphere,60.7,,92,Kiruna_22.9 km_67.9N/21.1E_February 1992,n/a
Kaiser et al._2006,Stratosphere,34.2,,68.8,Kiruna_20.1 km_67.9N/21.1E_February 1992,n/a
Kaiser et al._2006,Stratosphere,7.2,,44.7,Kiruna_7 km_67.9N/21.1E_March 1992,n/a
Kaiser et al._2006,Stratosphere,7.6,,45.3,Kiruna_8.6 km_67.9N/21.1E_March 1992,n/a
Kaiser et al._2006,Stratosphere,8.2,,45.6,Kiruna_10 km_67.9N/21.1E_March 1992,n/a
Kaiser et al._2006,Stratosphere,9.1,,46.6,Kiruna_11.5 km_67.9N/21.1E_March 1992,n/a
Kaiser et al._2006,Stratosphere,10,,47.6,Kiruna_15.1 km_67.9N/21.1E_March 1992,n/a
Kaiser et al._2006,Stratosphere,10.6,,48,Kiruna_17.2 km_67.9N/21.1E_March 1992,n/a
Kaiser et al._2006,Stratosphere,55.9,,89.1,Kiruna_25 km_67.9N/21.1E_March 1992,n/a
Kaiser et al._2006,Stratosphere,47.4,,81.2,Kiruna_21.5 km_67.9N/21.1E_March 1992,n/a
Kaiser et al._2006,Stratosphere,32,,66.2,Kiruna_20 km_67.9N/21.1E_March 1992,n/a
Kaiser et al._2006,Stratosphere,7.1,,44.8,ASA_10.2 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,7.6,,45.4,ASA_11.9 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,7.6,,45.6,ASA_13.9 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,8.3,,46.1,ASA_16.1 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,9.5,,47.1,ASA_18 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,12.9,,50.2,ASA_19.6 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,56.8,,88.8,ASA_31.6 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,50.3,,82.1,ASA_30 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,41.2,,74.3,ASA_28.5 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,40.1,,73.6,ASA_26.9 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,31.4,,65.9,ASA_25.2 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,20.7,,56.2,ASA_23.8 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,16.4,,53.2,ASA_22.2 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,16.7,,53.2,ASA_21 km_43.7N/-0.3E_September 1993,n/a
Kaiser et al._2006,Stratosphere,7.1,,44.5,Kiruna_6.6 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,7.6,,45,Kiruna_8.3 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,7.6,,45.2,Kiruna_9.6 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,8.6,,45.9,Kiruna_12.9 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,8.8,,46.4,Kiruna_14.4 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,10,,46.9,Kiruna_16 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,10.7,,47.6,Kiruna_17.3 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,11.8,,48.6,Kiruna_18.8 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,49,,81.7,Kiruna_30.2 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,38.1,,71.2,Kiruna_26.1 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,17.6,,53.2,Kiruna_21.4 km_67.9N/21.1E_March 1995,n/a
Kaiser et al._2006,Stratosphere,6.9,,44.7,India_10.2 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,6.8,,44.8,India_12.2 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,6.8,,44.6,India_14 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,6.9,,44.8,India_16.1 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,7,,45,India_18.1 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,7.8,,45.5,India_18.8 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,8.2,,45.8,India_19.9 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,8.8,,46.5,India_22.1 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,11.3,,49,India_24 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,27.1,,62.2,India_27.8 km_17.5N/78.6E_April 1999,n/a
Kaiser et al._2006,Stratosphere,7.1,,45,Gap_8.3 km_44.4N/6.1E_June 1999,n/a
Kaiser et al._2006,Stratosphere,6.6,,44.3,Gap_10.4 km_44.4N/6.2E_June 1999,n/a
Kaiser et al._2006,Stratosphere,7.5,,45.8,Gap_12.5 km_44.4N/6.2E_June 1999,n/a
Kaiser et al._2006,Stratosphere,7.6,,45,Gap_14.6 km_44.4N/6.3E_June 1999,n/a
Kaiser et al._2006,Stratosphere,7.6,,45.2,Gap_16.2 km_44.4N/6.3E_June 1999,n/a
Kaiser et al._2006,Stratosphere,8.9,,46.5,Gap_17.6 km_44.5N/6.3E_June 1999,n/a
Kaiser et al._2006,Stratosphere,10.6,,48,Gap_20.4 km_44.5N/6.3E_June 1999,n/a
Kaiser et al._2006,Stratosphere,15.2,,52.2,Gap_22.3 km_44.5N/6.3E_June 1999,n/a
Kaiser et al._2006,Stratosphere,86.7,,114.1,Gap_34.4 km_44.5N/5E_June 1999,n/a
Kaiser et al._2006,Stratosphere,83.5,,111.6,Gap_33.8 km_44.6N/4.3E_June 1999,n/a
Kaiser et al._2006,Stratosphere,77.1,,105.2,Gap_32.7 km_44.6N/4.1E_June 1999,n/a
Kaiser et al._2006,Stratosphere,63.2,,93.3,Gap_30.6 km_44.6N/3.8E_June 1999,n/a
Kaiser et al._2006,Stratosphere,53.1,,83.9,Gap_28.6 km_44.7N/3.5E_June 1999,n/a
Kaiser et al._2006,Stratosphere,22.4,,58,Gap_26.6 km_44.7N/3.3E_June 1999,n/a
Kaiser et al._2006,Stratosphere,14,,50.5,Gap_24.5 km_44.8N/3.1E_June 1999,n/a
Kaiser et al._2006,Stratosphere,62.7,,93,Kiruna_19.6 km_68N/24.5E_March 2000,n/a
Kaiser et al._2006,Stratosphere,69.7,,98.9,Kiruna_19.7 km_68N/26.4E_March 2000,n/a
Kaiser et al._2006,Stratosphere,90.6,,118.2,Kiruna_20.6 km_68N/24.4E_March 2000,n/a
Kaiser et al._2006,Stratosphere,12.7,,49.4,Kiruna_15.6 km_68N/26.9E_March 2000,n/a
Kaiser et al._2006,Stratosphere,10.7,,48.1,Kiruna_14.8 km_68N/27.1E_March 2000,n/a
Kaiser et al._2006,Stratosphere,9.1,,46.9,Kiruna_13.5 km_68N/27.2E_March 2000,n/a
Kaiser et al._2006,Stratosphere,21,,56.6,Kiruna_17.5 km_68N/26.7E_March 2000,n/a
Kaiser et al._2006,Stratosphere,8.4,,45.8,Kiruna_12.6 km_68N/27.3E_March 2000,n/a
Kaiser et al._2006,Stratosphere,7.7,,45.6,Kiruna_11.5 km_68N/27.4E_March 2000,n/a
Kaiser et al._2006,Stratosphere,7.2,,44.8,Kiruna_10.3 km_68N/27.6E_March 2000,n/a
Kaiser et al._2006,Stratosphere,7,,44.7,Kiruna_9.4 km_68N/27.7E_March 2000,n/a
Kaiser et al._2006,Stratosphere,11.2,,48.2,ASA_21.5 km_44N/-1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,37.5,,71.3,ASA_31.4 km_44N/-0.7E_September 2002,n/a
Kaiser et al._2006,Stratosphere,8,,45.9,ASA_14.7 km_44.1N/-1.2E_September 2002,n/a
Kaiser et al._2006,Stratosphere,11.6,,48.4,ASA_20.1 km_44N/-1.1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,34.6,,68.4,ASA_30.2 km_44N/-0.8E_September 2002,n/a
Kaiser et al._2006,Stratosphere,17.7,,53.8,ASA_24.2 km_44N/-1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,10.7,,47.8,ASA_18.7 km_44.1N/-1.1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,26.3,,61,ASA_28.5 km_44N/-0.9E_September 2002,n/a
Kaiser et al._2006,Stratosphere,7.3,,45,ASA_13.1 km_44.2N/-1.3E_September 2002,n/a
Kaiser et al._2006,Stratosphere,24.5,,59.5,ASA_27 km_44N/-0.9E_September 2002,n/a
Kaiser et al._2006,Stratosphere,14,,50.7,ASA_22.7 km_44N/-1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,8.4,,46.3,ASA_17.3 km_44.1N/-1.1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,20.7,,56.3,ASA_25.5 km_44N/-1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,7.1,,44.6,ASA_12.1 km_44.2N/-1.3E_September 2002,n/a
Kaiser et al._2006,Stratosphere,35.3,,68.6,ASA_28.7 km_43.5N/0.8E_September 2002,n/a
Kaiser et al._2006,Stratosphere,46.2,,77.8,ASA_31.9 km_43.4N/0.5E_September 2002,n/a
Kaiser et al._2006,Stratosphere,15.2,,51.4,ASA_20.7 km_43.5N/1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,25.2,,60.5,ASA_27 km_43.5N/0.9E_September 2002,n/a
Kaiser et al._2006,Stratosphere,11.8,,49.1,ASA_19.3 km_43.5N/1.1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,9.1,,46.9,ASA_17.6 km_43.5N/1.1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,8.5,,46.2,ASA_16.1 km_43.5N/1.1E_September 2002,n/a
Kaiser et al._2006,Stratosphere,6.6,,44.9,ASA_13.1 km_43.5N/1.2E_September 2002,n/a
Kaiser et al._2006,Stratosphere,6.8,,44.6,ASA_12.2 km_43.4N/-0.2E_September 2002,n/a
Kaiser et al._2006,Stratosphere,8.4,,45.9,EUPLEX_16.8 km_69.3N/20.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,10.7,,48,EUPLEX_15 km_68.8N/17.6E_February 2003,n/a
Kaiser et al._2006,Stratosphere,14.2,,50.9,EUPLEX_17.6 km_69.6N/16.2E_February 2003,n/a
Kaiser et al._2006,Stratosphere,12.4,,49.4,EUPLEX_17.7 km_70.9N/16.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,13.1,,50.1,EUPLEX_17.7 km_72.2N/16.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,17.6,,53.8,EUPLEX_17.6 km_73.5N/16E_February 2003,n/a
Kaiser et al._2006,Stratosphere,18.6,,54.6,EUPLEX_18 km_74.8N/16.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,16.4,,52.9,EUPLEX_18 km_76.1N/16E_February 2003,n/a
Kaiser et al._2006,Stratosphere,14.8,,51.3,EUPLEX_18.3 km_77.4N/15.9E_February 2003,n/a
Kaiser et al._2006,Stratosphere,15.5,,51.9,EUPLEX_18.2 km_78.8N/15.9E_February 2003,n/a
Kaiser et al._2006,Stratosphere,10.8,,48.2,EUPLEX_18.3 km_80N/16.5E_February 2003,n/a
Kaiser et al._2006,Stratosphere,9.1,,46.5,EUPLEX_15.8 km_79.1N/17.2E_February 2003,n/a
Kaiser et al._2006,Stratosphere,16.6,,53.2,EUPLEX_17.3 km_78N/17.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,30.6,,64.3,EUPLEX_19.6 km_76.7N/17.9E_February 2003,n/a
Kaiser et al._2006,Stratosphere,9.2,,46.3,EUPLEX_14.5 km_68.9N/20.7E_February 2003,n/a
Kaiser et al._2006,Stratosphere,10.7,,48.3,EUPLEX_17.5 km_69.8N/21.2E_February 2003,n/a
Kaiser et al._2006,Stratosphere,20.7,,56.5,EUPLEX_17.6 km_71N/21.7E_February 2003,n/a
Kaiser et al._2006,Stratosphere,20.3,,56.1,EUPLEX_17.6 km_72.2N/22.3E_February 2003,n/a
Kaiser et al._2006,Stratosphere,20.4,,56.2,EUPLEX_17.8 km_73.4N/23E_February 2003,n/a
Kaiser et al._2006,Stratosphere,17.5,,53.7,EUPLEX_18.5 km_65.6N/14.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,18.4,,54.3,EUPLEX_18.5 km_65.9N/14.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,18.7,,54.9,EUPLEX_18.5 km_66.4N/14.2E_February 2003,n/a
Kaiser et al._2006,Stratosphere,17.9,,54.2,EUPLEX_18.5 km_69.1N/12.7E_February 2003,n/a
Kaiser et al._2006,Stratosphere,17.9,,54.3,EUPLEX_18.5 km_69.6N/12.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,17.9,,53.8,EUPLEX_18.5 km_70.1N/12E_February 2003,n/a
Kaiser et al._2006,Stratosphere,20,,55.8,EUPLEX_19 km_72.7N/9.6E_February 2003,n/a
Kaiser et al._2006,Stratosphere,23.9,,59.3,EUPLEX_19.5 km_72.5N/9.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,23.9,,59,EUPLEX_19.5 km_71.9N/9.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,22,,56.8,EUPLEX_19.6 km_69.1N/12E_February 2003,n/a
Kaiser et al._2006,Stratosphere,22.2,,57.4,EUPLEX_19.6 km_68.6N/12.3E_February 2003,n/a
Kaiser et al._2006,Stratosphere,22.2,,57.8,EUPLEX_19.6 km_68N/12.6E_February 2003,n/a
Kaiser et al._2006,Stratosphere,23.6,,58.9,EUPLEX_19.6 km_66.4N/15.2E_February 2003,n/a
Kaiser et al._2006,Stratosphere,17.8,,53.9,EUPLEX_18.5 km_66.8N/16.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,13,,49.5,EUPLEX_17.1 km_67N/17.3E_February 2003,n/a
Kaiser et al._2006,Stratosphere,9,,46.5,EUPLEX_15 km_67.7N/19.4E_February 2003,n/a
Kaiser et al._2006,Stratosphere,7.6,,45.3,EUPLEX_13.5 km_68N/18.7E_February 2003,n/a
Kaiser et al._2006,Stratosphere,7.4,,45.7,EUPLEX_14.8 km_68.1N/18.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,7.9,,45.7,EUPLEX_15.8 km_68.1N/17.7E_February 2003,n/a
Kaiser et al._2006,Stratosphere,12.5,,49.6,EUPLEX_19.1 km_69.1N/16.3E_February 2003,n/a
Kaiser et al._2006,Stratosphere,11.4,,48.6,EUPLEX_19.5 km_68.8N/17.9E_February 2003,n/a
Kaiser et al._2006,Stratosphere,14.5,,51.7,EUPLEX_19.9 km_67.4N/24.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,14,,50.8,EUPLEX_19.8 km_67.1N/26.1E_February 2003,n/a
Kaiser et al._2006,Stratosphere,14.3,,51.3,EUPLEX_19.8 km_66.6N/26.8E_February 2003,n/a
Kaiser et al._2006,Stratosphere,13.3,,50.6,EUPLEX_20 km_67.2N/23.6E_February 2003,n/a
